Threshold,TotalErr
1.1920928955078125e-07,6.6733151447682032e-05
2.1190901406953344e-06,6.6733175318615473e-05
4.1189709918398876e-06,6.6733175318615473e-05
6.1188520703581162e-06,6.6733175318615473e-05
8.1187326941289939e-06,6.6733175318615473e-05
1.0118613317899872e-05,6.6733175318615473e-05
1.2118493941670749e-05,6.6733175318615473e-05
1.4118374565441627e-05,6.6733175318615473e-05
1.6118256098707207e-05,6.6733175318615473e-05
1.8118136722478084e-05,6.6733175318615473e-05
2.0118017346248962e-05,6.6733175318615473e-05
2.211789797001984e-05,6.6733175318615473e-05
2.4117778593790717e-05,6.6733175318615473e-05
2.6117659217561595e-05,6.6733175318615473e-05
2.8117539841332473e-05,6.6733175318615473e-05
3.0117420465103351e-05,6.6733175318615473e-05
3.2117302907863632e-05,6.6733175318615473e-05
3.411718353163451e-05,6.6733175318615473e-05
3.6117064155405387e-05,6.6733175318615473e-05
3.8116944779176265e-05,6.6733175318615473e-05
4.0116825402947143e-05,6.6733175318615473e-05
4.211670602671802e-05,6.6733175318615473e-05
4.4116586650488898e-05,6.6733175318615473e-05
4.6116467274259776e-05,6.6733175318615473e-05
4.8116347898030654e-05,6.6733175318615473e-05
5.0116228521801531e-05,6.6733175318615473e-05
5.2116109145572409e-05,6.6733175318615473e-05
5.4115989769343287e-05,6.6733175318615473e-05
5.6115870393114164e-05,6.6733175318615473e-05
5.8115751016885042e-05,6.6733175318615473e-05
6.011563164065592e-05,6.6733175318615473e-05
6.2115512264426798e-05,6.6733175318615473e-05
6.4115396526176482e-05,6.6733175318615473e-05
6.6115280787926167e-05,6.6733175318615473e-05
6.8115165049675852e-05,6.6733175318615473e-05
7.0115049311425537e-05,6.6733175318615473e-05
7.2114933573175222e-05,6.6733175318615473e-05
7.4114817834924906e-05,6.6733175318615473e-05
7.6114702096674591e-05,6.6733175318615473e-05
7.8114586358424276e-05,6.6733175318615473e-05
8.0114470620173961e-05,6.6733175318615473e-05
8.2114354881923646e-05,6.6733175318615473e-05
8.4114239143673331e-05,6.6733175318615473e-05
8.6114123405423015e-05,6.6733175318615473e-05
8.81140076671727e-05,6.6733175318615473e-05
9.0113891928922385e-05,6.6733175318615473e-05
9.211377619067207e-05,6.6733175318615473e-05
9.4113660452421755e-05,6.6733175318615473e-05
9.6113544714171439e-05,6.6733175318615473e-05
9.8113428975921124e-05,6.6733175318615473e-05
0.00010011331323767081,6.6733175318615473e-05
0.00010211319749942049,6.6733175318615473e-05
0.00010411308176117018,6.6733175318615473e-05
0.00010611296602291986,6.6733175318615473e-05
0.00010811285028466955,6.6733175318615473e-05
0.00011011273454641923,6.6733175318615473e-05
0.00011211261880816892,6.6733175318615473e-05
0.0001141125030699186,6.6733175318615473e-05
0.00011611238733166829,6.6733175318615473e-05
0.00011811227159341797,6.6733175318615473e-05
0.00012011215585516766,6.6733175318615473e-05
0.00012211203284095973,6.6733175318615473e-05
0.00012411191710270941,6.6733175318615473e-05
0.0001261118013644591,6.6733175318615473e-05
0.00012811168562620878,6.6733175318615473e-05
0.00013011156988795847,6.6733175318615473e-05
0.00013211145414970815,6.6733175318615473e-05
0.00013411133841145784,6.6733175318615473e-05
0.00013611122267320752,6.6733175318615473e-05
0.00013811110693495721,6.6733175318615473e-05
0.00014011099119670689,6.6733175318615473e-05
0.00014211087545845658,6.6733175318615473e-05
0.00014411075972020626,6.6733175318615473e-05
0.00014611064398195595,6.6733175318615473e-05
0.00014811052824370563,6.6733175318615473e-05
0.00015011041250545532,6.6733175318615473e-05
0.000152110296767205,6.6733175318615473e-05
0.00015411018102895468,6.6733175318615473e-05
0.00015611006529070437,6.6733175318615473e-05
0.00015810994955245405,6.6733175318615473e-05
0.00016010983381420374,6.6733175318615473e-05
0.00016210971807595342,6.6733175318615473e-05
0.00016410960233770311,6.6733175318615473e-05
0.00016610948659945279,6.6733175318615473e-05
0.00016810937086120248,6.6733175318615473e-05
0.00017010925512295216,6.6733175318615473e-05
0.00017210913938470185,6.6733175318615473e-05
0.00017410902364645153,6.6733175318615473e-05
0.00017610890790820122,6.6733175318615473e-05
0.0001781087921699509,6.6733175318615473e-05
0.00018010867643170059,6.6733175318615473e-05
0.00018210856069345027,6.6733175318615473e-05
0.00018410844495519996,6.6733175318615473e-05
0.00018610832921694964,6.6733175318615473e-05
0.00018810821347869933,6.6733175318615473e-05
0.00019010809774044901,6.6733175318615473e-05
0.0001921079820021987,6.6733175318615473e-05
0.00019410786626394838,6.6733175318615473e-05
0.00019610775052569807,6.6733175318615473e-05
0.00019810763478744775,6.6733175318615473e-05
0.00020010751904919744,6.6733175318615473e-05
0.00020210740331094712,6.6733175318615473e-05
0.00020410728757269681,6.6733175318615473e-05
0.00020610717183444649,6.6733175318615473e-05
0.00020810705609619617,6.6733175318615473e-05
0.00021010694035794586,6.6733175318615473e-05
0.00021210682461969554,6.6733175318615473e-05
0.00021410670888144523,6.6733175318615473e-05
0.00021610659314319491,6.6733175318615473e-05
0.0002181064774049446,6.6733175318615473e-05
0.00022010636166669428,6.6733175318615473e-05
0.00022210624592844397,6.6733175318615473e-05
0.00022410613019019365,6.6733175318615473e-05
0.00022610601445194334,6.6733175318615473e-05
0.00022810589871369302,6.6733175318615473e-05
0.00023010578297544271,6.6733175318615473e-05
0.00023210566723719239,6.6733175318615473e-05
0.00023410555149894208,6.6733175318615473e-05
0.00023610543576069176,6.6733175318615473e-05
0.00023810532002244145,6.6733175318615473e-05
0.00024010520428419113,6.6733175318615473e-05
0.00024210508854594082,6.6733175318615473e-05
0.0002441049728076905,6.6733175318615473e-05
0.00024610484251752496,6.6733175318615473e-05
0.00024810471222735941,6.6733175318615473e-05
0.00025010458193719387,6.6733175318615473e-05
0.00025210445164702833,6.6733175318615473e-05
0.00025410432135686278,6.6733175318615473e-05
0.00025610419106669724,6.6733175318615473e-05
0.0002581040607765317,6.6733175318615473e-05
0.00026010393048636615,6.6733175318615473e-05
0.00026210380019620061,6.6733175318615473e-05
0.00026410366990603507,6.6733175318615473e-05
0.00026610353961586952,6.6733175318615473e-05
0.00026810340932570398,6.6733175318615473e-05
0.00027010327903553843,6.6733175318615473e-05
0.00027210314874537289,6.6733175318615473e-05
0.00027410301845520735,6.6733175318615473e-05
0.0002761028881650418,6.6733175318615473e-05
0.00027810275787487626,6.6733175318615473e-05
0.00028010262758471072,6.6733175318615473e-05
0.00028210249729454517,6.6733175318615473e-05
0.00028410236700437963,6.6733175318615473e-05
0.00028610223671421409,6.6733175318615473e-05
0.00028810210642404854,6.6733175318615473e-05
0.000290101976133883,6.6733175318615473e-05
0.00029210184584371746,6.6733175318615473e-05
0.00029410171555355191,6.6733175318615473e-05
0.00029610158526338637,6.6733175318615473e-05
0.00029810145497322083,6.6733175318615473e-05
0.00030010132468305528,6.6733175318615473e-05
